Store,Item,Date,Weekly_Demand
1,3,2012-07-08,41
1,3,2012-07-15,51
1,3,2012-07-22,23
1,3,2012-07-29,32
1,3,2012-08-05,57
1,3,2012-08-12,59
1,3,2012-08-19,45
1,3,2012-08-26,43
1,3,2012-09-02,42
1,3,2012-09-09,21
1,3,2012-09-16,36
1,3,2012-09-23,32
1,3,2012-09-30,43
1,3,2012-10-07,21
1,3,2012-10-14,34
1,3,2012-10-21,40
1,3,2012-10-28,40
