Store,Item,Date,Weekly_Demand
2,3,2010-09-19,32
2,3,2010-09-26,52
2,3,2010-10-03,32
2,3,2010-10-10,49
2,3,2010-10-17,46
2,3,2010-10-24,35
2,3,2010-10-31,46
2,3,2010-11-07,31
2,3,2010-11-14,26
2,3,2010-11-21,15
2,3,2010-11-28,30
2,3,2010-12-05,56
2,3,2010-12-12,37
2,3,2010-12-19,65
2,3,2010-12-26,37
2,3,2011-01-02,68
2,3,2011-01-09,34
2,3,2011-01-16,70
2,3,2011-01-23,30
2,3,2011-01-30,14
2,3,2011-02-06,38
2,3,2011-02-13,66
2,3,2011-02-20,47
2,3,2011-02-27,35
2,3,2011-03-06,30
2,3,2011-03-13,21
2,3,2011-03-20,64
2,3,2011-03-27,50
2,3,2011-04-03,40
2,3,2011-04-10,35
2,3,2011-04-17,46
2,3,2011-04-24,46
2,3,2011-05-01,45
2,3,2011-05-08,26
2,3,2011-05-15,41
2,3,2011-05-22,57
2,3,2011-05-29,39
2,3,2011-06-05,41
2,3,2011-06-12,61
2,3,2011-06-19,90
2,3,2011-06-26,75
2,3,2011-07-03,50
2,3,2011-07-10,45
2,3,2011-07-17,60
2,3,2011-07-24,60
2,3,2011-07-31,34
2,3,2011-08-07,48
2,3,2011-08-14,80
2,3,2011-08-21,51
2,3,2011-08-28,71
2,3,2011-09-04,51
2,3,2011-09-11,29
2,3,2011-09-18,48
2,3,2011-09-25,62
2,3,2011-10-02,24
2,3,2011-10-09,36
2,3,2011-10-16,28
2,3,2011-10-23,37
2,3,2011-10-30,28
2,3,2011-11-06,45
2,3,2011-11-13,40
2,3,2011-11-20,32
2,3,2011-11-27,36
2,3,2011-12-04,41
2,3,2011-12-11,46
2,3,2011-12-18,34
2,3,2011-12-25,43
2,3,2012-01-01,37
2,3,2012-01-08,30
2,3,2012-01-15,21
2,3,2012-01-22,17
2,3,2012-01-29,39
2,3,2012-02-05,42
2,3,2012-02-12,34
2,3,2012-02-19,49
2,3,2012-02-26,34
2,3,2012-03-04,38
2,3,2012-03-11,35
2,3,2012-03-18,53
2,3,2012-03-25,48
2,3,2012-04-01,72
2,3,2012-04-08,59
2,3,2012-04-15,39
2,3,2012-04-22,74
2,3,2012-04-29,22
2,3,2012-05-06,67
2,3,2012-05-13,46
2,3,2012-05-20,62
2,3,2012-05-27,70
2,3,2012-06-03,64
2,3,2012-06-10,73
2,3,2012-06-17,78
2,3,2012-06-24,63
2,3,2012-07-01,100
2,3,2012-07-08,65
2,3,2012-07-15,73
2,3,2012-07-22,39
2,3,2012-07-29,79
2,3,2012-08-05,44
2,3,2012-08-12,60
2,3,2012-08-19,30
2,3,2012-08-26,48
2,3,2012-09-02,56
2,3,2012-09-09,28
2,3,2012-09-16,43
2,3,2012-09-23,12
2,3,2012-09-30,39
2,3,2012-10-07,44
2,3,2012-10-14,68
2,3,2012-10-21,42
2,3,2012-10-28,26
2,4,2010-02-07,66
2,4,2010-02-14,59
2,4,2010-02-21,52
2,4,2010-02-28,64
2,4,2010-03-07,73
2,4,2010-03-14,48
2,4,2010-03-21,69
2,4,2010-03-28,60
2,4,2010-04-04,80
2,4,2010-04-11,73
2,4,2010-04-18,51
2,4,2010-04-25,59
2,4,2010-05-02,44
2,4,2010-05-09,50
2,4,2010-05-16,59
2,4,2010-05-23,55
2,4,2010-05-30,51
2,4,2010-06-06,55
2,4,2010-06-13,57
2,4,2010-06-20,45
2,4,2010-06-27,42
2,4,2010-07-04,53
2,4,2010-07-11,35
2,4,2010-07-18,60
2,4,2010-07-25,43
2,4,2010-08-01,52
2,4,2010-08-08,54
2,4,2010-08-15,44
2,4,2010-08-22,59
2,4,2010-08-29,38
2,4,2010-09-05,51
2,4,2010-09-12,50
2,4,2010-09-19,38
2,4,2010-09-26,63
